DATE,품목명,총반입량,전일,전년
2023-07-17,배추,636,0,0
2023-07-15,배추,133,254,435
2023-07-14,배추,254,255,276
2023-07-13,배추,254,451,465
2023-07-12,배추,451,402,326
2023-07-11,배추,402,365,562
2023-07-10,배추,365,0,0
2023-07-08,배추,353,494,423
2023-07-07,배추,493,229,405
2023-07-06,배추,230,388,411
2023-07-05,배추,388,432,387
2023-07-04,배추,431,519,520
2023-07-03,배추,519,0,0
2023-07-01,배추,263,328,273
2023-06-30,배추,327,477,200
2023-06-29,배추,477,509,475
2023-06-28,배추,508,280,488
2023-06-27,배추,280,418,654
2023-06-26,배추,418,0,0
2023-06-24,배추,245,504,550
2023-06-23,배추,504,281,429
2023-06-22,배추,282,277,461
2023-06-21,배추,278,366,493
2023-06-20,배추,366,369,387
2023-06-19,배추,368,0,0
2023-06-17,배추,307,234,467
2023-06-16,배추,235,248,310
2023-06-15,배추,249,313,460
2023-06-14,배추,314,389,393
2023-06-13,배추,388,329,342
2023-06-12,배추,328,0,0
2023-06-10,배추,214,288,443
2023-06-09,배추,288,295,494
2023-06-08,배추,295,335,471
2023-06-07,배추,335,312,243
2023-06-06,배추,312,326,478
2023-06-05,배추,326,0,0
2023-06-03,배추,391,368,326
2023-06-02,배추,368,290,321
2023-06-01,배추,290,256,416
2023-05-31,배추,257,357,311
2023-05-30,배추,358,277,426
2023-05-29,배추,276,0,0
2023-05-27,배추,209,337,316
2023-05-26,배추,338,448,379
2023-05-25,배추,447,394,340
2023-05-24,배추,393,397,397
2023-05-23,배추,398,519,535
2023-05-22,배추,519,0,0
2023-05-20,배추,240,314,448
2023-05-19,배추,313,273,392
2023-05-18,배추,273,352,361
2023-05-17,배추,351,247,449
2023-05-16,배추,247,239,547
2023-05-15,배추,239,0,0
2023-05-13,배추,205,365,325
2023-05-12,배추,364,357,322
2023-05-11,배추,357,358,386
2023-05-10,배추,358,427,442
2023-05-09,배추,427,517,411
2023-05-08,배추,516,0,0
2023-05-06,배추,127,328,319
2023-05-05,배추,328,335,301
2023-05-04,배추,334,262,431
2023-05-03,배추,261,254,409
2023-05-02,배추,255,296,400
2023-05-01,배추,296,0,0
2023-04-29,배추,238,299,338
2023-04-28,배추,299,240,444
2023-04-27,배추,240,223,352
2023-04-26,배추,223,235,398
2023-04-25,배추,235,296,402
2023-04-24,배추,296,0,0
2023-04-22,배추,216,255,370
2023-04-21,배추,255,297,431
2023-04-20,배추,296,330,352
2023-04-19,배추,329,306,311
2023-04-18,배추,306,341,454
2023-04-17,배추,341,0,0
2023-04-15,배추,118,271,257
2023-04-14,배추,271,256,386
2023-04-13,배추,255,331,386
2023-04-12,배추,332,264,428
2023-04-11,배추,264,434,386
2023-04-10,배추,435,0,0
2023-04-08,배추,255,180,381
2023-04-07,배추,180,214,303
2023-04-06,배추,213,301,477
2023-04-05,배추,301,178,361
2023-04-04,배추,178,166,365
2023-04-03,배추,166,0,0
2023-04-01,배추,150,240,307
2023-03-31,배추,239,347,289
2023-03-30,배추,347,319,278
2023-03-29,배추,319,299,308
2023-03-28,배추,299,338,352
2023-03-27,배추,338,0,0
