날짜,품목,품종,등급,거래단위,최저가,최고가,평균가,전일대비 등락,전일 평균대비,전7일 평균대비,전년 동월동일 평균대비
2025.05.12,수박,수박(일반),보통,7kg개,18000,20500,18548,"2,051","16,497(112.4%)","18,712(99.1%)","17,707(104.7%)"
2025.05.12,수박,수박(일반),하,7kg개,11000,18000,14329,"1,862","12,467(114.9%)","14,196(100.9%)","11,857(120.8%)"
2025.05.12,수박,수박(일반),특,8kg개,24500,24500,24500,"2,500","22,000(111.4%)","25,259(97%)","29,579(82.8%)"
2025.05.12,수박,수박(일반),상,8kg개,22000,24500,23391,"2,851","20,540(113.9%)","22,788(102.6%)","21,679(107.9%)"
2025.05.12,수박,수박(일반),보통,8kg개,19000,22000,20417,"2,355","18,062(113%)","20,047(101.8%)","12,997(157.1%)"
2025.05.12,수박,수박(일반),하,8kg개,10000,19000,14844,30,"14,814(100.2%)","15,501(95.8%)","10,675(139.1%)"
2025.05.12,수박,수박(일반),특,9kg개,24500,25000,24862,900,"23,962(103.8%)","27,941(89%)","28,000(88.8%)"
2025.05.12,수박,수박(일반),상,9kg개,23000,24500,23761,"1,643","22,118(107.4%)","25,242(94.1%)","25,533(93.1%)"
2025.05.12,수박,수박(일반),보통,9kg개,21000,23000,22091,"1,863","20,228(109.2%)","22,180(99.6%)","19,786(111.6%)"
2025.05.12,수박,수박(일반),하,9kg개,12000,21000,18764,"2,860","15,904(118%)","18,537(101.2%)","15,701(119.5%)"
2025.05.12,수박,복수박,특,5kg상자,23000,23000,23000,"23,000",0,0,0
2025.05.12,수박,복수박,상,5kg상자,23000,23000,23000,"23,000",0,0,0
2025.05.12,수박,복수박,보통,5kg상자,18000,23000,20109,"20,109",0,0,0
2025.05.12,수박,복수박,하,5kg상자,16000,18000,17435,"17,435",0,0,0
2025.05.12,수박,블랙망고수박,특,5kg상자,18000,18000,18000,"""""","18,000(100%)","18,667(96.4%)",0
2025.05.12,수박,블랙망고수박,상,5kg상자,14000,18000,15733,"""""","15,733(100%)","17,860(88.1%)",0
2025.05.12,수박,블랙망고수박,보통,5kg상자,14000,14000,14000,"""""","14,000(100%)","15,715(89.1%)",0
2025.05.12,수박,블랙망고수박,하,5kg상자,10000,14000,12409,"""""","12,409(100%)","13,090(94.8%)",0
2025.05.12,참외,참외(일반),특,10kg상자,32000,55000,35930,"-2,350","38,280(93.9%)","42,910(83.7%)","48,419(74.2%)"
2025.05.12,참외,참외(일반),상,10kg상자,24000,32000,26550,"-1,791","28,341(93.7%)","32,975(80.5%)","39,765(66.8%)"
2025.05.12,참외,참외(일반),보통,10kg상자,18000,24000,21108,"-2,145","23,253(90.8%)","26,962(78.3%)","33,087(63.8%)"
2025.05.12,참외,참외(일반),하,10kg상자,5000,18000,14916,"-1,236","16,152(92.3%)","19,612(76.1%)","24,140(61.8%)"
2025.05.12,오이,백다다기오이,특,100개,34500,52000,37019,"4,475","32,544(113.8%)","38,516(96.1%)","36,713(100.8%)"
2025.05.12,오이,백다다기오이,상,100개,32000,34500,33245,"4,750","28,495(116.7%)","33,997(97.8%)","31,925(104.1%)"
2025.05.12,오이,백다다기오이,보통,100개,29000,32000,30883,"4,728","26,155(118.1%)","30,846(100.1%)","28,933(106.7%)"
2025.05.12,오이,백다다기오이,하,100개,5000,29000,25563,"4,954","20,609(124%)","24,460(104.5%)","22,196(115.2%)"
2025.05.12,오이,백다다기오이,특,50개,17000,18500,17295,"2,232","15,063(114.8%)","18,389(94.1%)","18,763(92.2%)"
2025.05.12,오이,백다다기오이,상,50개,14500,17000,15401,"1,964","13,437(114.6%)","16,257(94.7%)","17,093(90.1%)"
