DATE,unit,rate,avg_price
2024-12-16,10,하,9545 
2024-12-15,10,특,0 
2024-12-15,10,상,0 
2024-12-15,10,중,0 
2024-12-15,10,하,0 
2024-12-14,10,특,10019 
2024-12-14,10,상,9397 
2024-12-14,10,중,8631 
2024-12-14,10,하,7114 
2024-12-13,10,특,10289 
2024-12-13,10,상,9397 
2024-12-13,10,중,8655 
2024-12-13,10,하,7483 
2024-12-12,10,특,10756 
2024-12-12,10,상,9477 
2024-12-12,10,중,8781 
2024-12-12,10,하,7334 
2024-12-11,10,특,10602 
2024-12-11,10,상,9656 
2024-12-11,10,중,8962 
2024-12-11,10,하,7510 
2024-12-10,10,특,9670 
2024-12-10,10,상,8842 
2024-12-10,10,중,8186 
2024-12-10,10,하,6855 
2024-12-09,10,특,9654 
2024-12-09,10,상,8834 
2024-12-09,10,중,8184 
2024-12-09,10,하,6663 
2024-12-07,10,특,10876 
2024-12-07,10,상,9233 
2024-12-07,10,중,8187 
2024-12-07,10,하,6303 
2024-12-06,10,특,10368 
2024-12-06,10,상,9195 
2024-12-06,10,중,8526 
2024-12-06,10,하,6440 
2024-12-05,10,특,11821 
2024-12-05,10,상,10342 
2024-12-05,10,중,9336 
2024-12-05,10,하,6867 
2024-12-04,10,특,10131 
2024-12-04,10,상,9416 
2024-12-04,10,중,8792 
2024-12-04,10,하,7013 
2024-12-03,10,특,9730 
2024-12-03,10,상,8498 
2024-12-03,10,중,7905 
2024-12-03,10,하,6037 
2024-12-02,10,특,9211 
2024-12-02,10,상,7313 
2024-12-02,10,중,6470 
2024-12-02,10,하,5000 
2024-12-01,10,특,0 
2024-12-01,10,상,0 
2024-12-01,10,중,0 
2024-12-01,10,하,0 
2024-11-30,10,특,10014 
2024-11-30,10,상,8435 
2024-11-30,10,중,7048 
2024-11-30,10,하,4110 
2024-11-29,10,특,10992 
2024-11-29,10,상,9361 
2024-11-29,10,중,8049 
2024-11-29,10,하,5274 
2024-11-28,10,특,14920 
2024-11-28,10,상,13956 
2024-11-28,10,중,12236 
2024-11-28,10,하,8786 
2024-11-27,10,특,11736 
2024-11-27,10,상,10067 
2024-11-27,10,중,9106 
2024-11-27,10,하,6226 
2024-11-26,10,특,11219 
2024-11-26,10,상,9920 
2024-11-26,10,중,8832 
2024-11-26,10,하,6976 
2024-11-25,10,특,10228 
2024-11-25,10,상,9170 
2024-11-25,10,중,8044 
2024-11-25,10,하,6013 
2024-11-24,10,특,0 
2024-11-24,10,상,0 
2024-11-24,10,중,0 
2024-11-24,10,하,0 
2024-11-23,10,특,9333 
2024-11-23,10,상,8031 
2024-11-23,10,중,6652 
