DATE,품목명,단위(키로),등급명,평균가격,전일,전년,반입량
2021-11-18,배추,10,0,10806,8257,5806,407
2021-11-19,배추,10,0,10758,10806,6206,516
2021-11-19,배추,10,1,12852,13082,7363,73
2021-11-20,배추,10,0,10500,10758,7491,452
2021-11-20,배추,10,1,12602,12852,8730,64
2021-11-22,배추,10,0,9639,0,6715,410
2021-11-22,배추,10,1,12026,0,8209,58
2021-11-23,배추,10,0,8775,9639,0,306
2021-11-23,배추,10,1,10447,12026,0,43
2021-11-24,배추,10,0,10136,8775,6127,202
2021-11-24,배추,10,1,11699,10447,7311,28
2021-11-25,배추,10,0,9161,10136,5111,392
2021-11-25,배추,10,1,10931,11699,6440,56
2021-11-26,배추,10,1,10638,10931,6035,56
2021-11-26,배추,10,0,9244,9161,5126,397
2021-11-27,배추,10,0,9097,9244,5589,346
2021-11-27,배추,10,1,11047,10638,6607,49
2021-11-29,배추,10,0,9736,0,5525,289
2021-11-29,배추,10,1,11651,0,6505,41
2021-11-30,배추,10,0,8398,9736,0,271
2021-11-30,배추,10,1,10195,11651,0,38
2021-12-01,배추,10,0,8465,8398,3807,187
2021-12-01,배추,10,1,10002,10195,4846,26
2021-12-02,배추,10,1,11490,0,0,19
2021-12-02,배추,10,0,9597,0,0,137
2021-12-03,배추,10,0,8626,0,0,238
2021-12-03,배추,10,1,10235,0,0,34
2021-12-04,배추,10,0,8277,0,0,235
2021-12-04,배추,10,1,9796,0,0,33
2021-12-06,배추,10,0,7952,0,0,197
2021-12-06,배추,10,1,9388,0,0,28
2021-12-07,배추,10,0,8292,0,0,147
2021-12-07,배추,10,1,9515,0,0,21
2021-12-08,배추,10,0,8256,0,0,123
2021-12-08,배추,10,1,9339,0,0,17
2021-12-09,배추,10,1,8962,0,0,25
2021-12-09,배추,10,0,7847,0,0,178
2021-12-10,배추,10,1,8158,0,0,25
2021-12-10,배추,10,0,7224,0,0,179
2021-12-11,배추,10,0,7360,7224,3652,143
2021-12-11,배추,10,1,8000,8158,4126,20
2021-12-13,배추,10,0,8497,0,4078,91
2021-12-13,배추,10,1,9465,0,4500,13
2021-12-14,배추,10,0,7879,8497,0,118
2021-12-14,배추,10,1,8550,9465,0,16
2021-12-15,배추,10,0,7580,7879,4537,118
2021-12-15,배추,10,1,8300,8550,5213,16
2021-12-16,배추,10,1,7892,8300,4277,16
2021-12-16,배추,10,0,7188,7580,3755,115
2021-12-17,배추,10,0,7471,7188,3439,89
2021-12-17,배추,10,1,8000,7892,3600,12
2021-12-18,배추,10,0,7771,7471,3314,45
2021-12-18,배추,10,1,8000,8000,3700,6
2021-12-20,배추,10,0,7593,0,3794,113
2021-12-20,배추,10,1,8099,0,4500,16
2021-12-21,배추,10,0,7360,7593,0,126
2021-12-21,배추,10,1,7791,8099,0,18
2021-12-22,배추,10,0,6932,7360,3738,127
2021-12-22,배추,10,1,7650,7791,4216,18
2021-12-23,배추,10,0,7095,6932,3248,85
2021-12-23,배추,10,1,7729,7650,3793,12
2021-12-24,배추,10,0,7706,7095,2995,74
2021-12-24,배추,10,1,8000,7729,3543,10
2021-12-25,배추,10,0,7957,7706,3418,57
2021-12-25,배추,10,1,9096,8000,3683,8
2021-12-27,배추,10,0,7957,0,3369,23
2021-12-27,배추,10,1,9096,0,3700,3
2021-12-28,배추,10,1,9132,9096,0,16
2021-12-28,배추,10,0,8113,7957,0,113
2021-12-29,배추,10,0,8332,8113,3748,95
2021-12-29,배추,10,1,9340,9132,3956,13
2021-12-30,배추,10,0,8641,8332,3873,113
2021-12-30,배추,10,1,9536,9340,4300,16
2021-12-31,배추,10,0,7539,8641,3551,89
2021-12-31,배추,10,1,8062,9536,4381,12
2022-01-03,배추,10,0,9051,0,0,61
2022-01-03,배추,10,1,9581,0,0,8
2022-01-04,배추,10,1,9121,0,0,14
2022-01-04,배추,10,0,8410,0,0,98
2022-01-05,배추,10,0,8168,0,0,144
2022-01-05,배추,10,1,8943,0,0,20
2022-01-06,배추,10,0,6689,0,0,130
2022-01-06,배추,10,1,7523,0,0,18
2022-01-07,배추,10,0,7129,0,0,86
2022-01-07,배추,10,1,7918,0,0,12
2022-01-08,배추,10,0,7719,0,0,45
2022-01-08,배추,10,1,8100,0,0,6
2022-01-10,배추,10,0,7403,0,0,116
2022-01-10,배추,10,1,8041,0,0,16
2022-01-11,배추,10,1,7854,8041,0,12
2022-01-11,배추,10,0,7463,7403,0,84
2022-01-12,배추,10,0,7926,7463,4675,77
2022-01-12,배추,10,1,8680,7854,5200,11
2022-01-13,배추,10,0,7980,7926,4230,87
2022-01-13,배추,10,1,8537,8680,4663,12
2022-01-14,배추,10,0,7513,7980,5117,101
2022-01-14,배추,10,1,8800,8537,5500,14
2022-01-15,배추,10,0,8454,7513,4605,71
2022-01-15,배추,10,1,9661,8800,5100,10
2022-01-17,배추,10,1,8277,0,5400,29
2022-01-17,배추,10,0,7477,0,5025,203
2022-01-18,배추,10,0,7199,7477,0,104
2022-01-18,배추,10,1,8055,8277,0,14
2022-01-19,배추,10,0,7744,7199,5201,106
2022-01-19,배추,10,1,8500,8055,5868,15
2022-01-20,배추,10,0,7468,7744,5527,113
2022-01-20,배추,10,1,8251,8500,6000,16
2022-01-21,배추,10,0,7426,7468,4704,86
2022-01-21,배추,10,1,8135,8251,5258,12
2022-01-22,배추,10,0,8643,7426,4168,46
2022-01-22,배추,10,1,9200,8135,4870,6
2022-01-24,배추,10,0,7640,0,4852,197
2022-01-24,배추,10,1,8361,0,5100,28
2022-01-25,배추,10,1,8495,8361,0,19
2022-01-25,배추,10,0,7801,7640,0,138
2022-01-26,배추,10,0,7313,7801,5792,180
2022-01-26,배추,10,1,7923,8495,6682,25
2022-01-27,배추,10,0,7168,7313,5967,121
2022-01-27,배추,10,1,7901,7923,7200,17
2022-01-28,배추,10,0,7224,7168,6924,121
2022-01-28,배추,10,1,8305,7901,8100,17
2022-01-29,배추,10,0,8263,7224,6846,65
2022-01-29,배추,10,1,9397,8305,7716,9
2022-02-04,배추,10,1,9522,0,0,19
2022-02-04,배추,10,0,8148,0,0,137
2022-02-05,배추,10,0,8612,0,0,59
2022-02-05,배추,10,1,9400,0,0,8
2022-02-07,배추,10,0,7860,0,0,128
2022-02-07,배추,10,1,8722,0,0,18
2022-02-08,배추,10,0,8447,0,0,75
2022-02-08,배추,10,1,8900,0,0,10
2022-02-09,배추,10,0,8726,0,0,72
2022-02-09,배추,10,1,9285,0,0,10
2022-02-10,배추,10,0,8337,0,0,127
2022-02-10,배추,10,1,9135,0,0,18
2022-02-11,배추,10,1,9078,9135,8155,14
2022-02-11,배추,10,0,8111,8337,6569,104
2022-02-12,배추,10,1,9175,9078,8155,8
2022-02-12,배추,10,0,8201,8111,6569,61
2022-02-14,배추,10,0,8426,0,0,110
2022-02-14,배추,10,1,9467,0,0,15
2022-02-15,배추,10,0,8069,8426,0,104
2022-02-15,배추,10,1,9449,9467,0,14
2022-02-16,배추,10,0,8653,8069,6922,93
2022-02-16,배추,10,1,10196,9449,8742,13
2022-02-17,배추,10,0,8188,8653,7700,94
2022-02-17,배추,10,1,9228,10196,9528,13
2022-02-18,배추,10,1,9314,9228,10088,12
2022-02-18,배추,10,0,8197,8188,8483,84
2022-02-19,배추,10,0,9225,8197,9394,49
2022-02-19,배추,10,1,10000,9314,10300,7
2022-02-21,배추,10,0,8279,0,9539,162
2022-02-21,배추,10,1,9142,0,10569,23
2022-02-22,배추,10,0,8800,8279,0,67
2022-02-22,배추,10,1,9357,9142,0,9
2022-02-23,배추,10,0,8373,8800,8555,130
2022-02-23,배추,10,1,9128,9357,10636,18
2022-02-24,배추,10,0,8511,8373,8954,95
2022-02-24,배추,10,1,9365,9128,11359,13
2022-02-25,배추,10,0,8904,8511,8835,81
2022-02-25,배추,10,1,9708,9365,11174,11
2022-02-26,배추,10,0,8995,8904,8799,91
2022-02-26,배추,10,1,9600,9708,10700,13
2022-02-28,배추,10,1,9247,0,10183,19
2022-02-28,배추,10,0,8108,0,8697,136
2022-03-01,배추,10,0,8904,8108,0,81
2022-03-01,배추,10,1,10143,9247,0,11
2022-03-02,배추,10,0,9195,0,0,64
2022-03-02,배추,10,1,10682,0,0,9
2022-03-03,배추,10,0,8738,0,0,148
2022-03-03,배추,10,1,9932,0,0,21
2022-03-04,배추,10,0,8985,0,0,111
2022-03-04,배추,10,1,9820,0,0,15
2022-03-05,배추,10,1,9155,0,0,14
2022-03-05,배추,10,0,8461,0,0,102
2022-03-07,배추,10,0,7755,0,0,141
2022-03-07,배추,10,1,8892,0,0,20
2022-03-08,배추,10,0,8236,0,0,113
2022-03-08,배추,10,1,9103,0,0,16
2022-03-09,배추,10,0,8280,0,0,126
2022-03-09,배추,10,1,9315,0,0,18
2022-03-10,배추,10,0,8979,0,0,70
2022-03-10,배추,10,1,9980,0,0,10
2022-03-11,배추,10,0,9513,8979,10004,85
2022-03-11,배추,10,1,10273,9980,10763,12
2022-03-12,배추,10,1,10263,10273,10502,12
2022-03-12,배추,10,0,9450,9513,8900,90
2022-03-14,배추,10,1,10800,0,10873,15
2022-03-14,배추,10,0,9671,0,9655,111
2022-03-15,배추,10,0,8702,9671,0,112
2022-03-15,배추,10,1,10619,10800,0,16
2022-03-16,배추,10,0,8881,8702,9737,102
2022-03-16,배추,10,1,10092,10619,11478,14
2022-03-17,배추,10,0,9032,8881,9497,94
2022-03-17,배추,10,1,10763,10092,10774,13
2022-03-18,배추,10,0,9298,9032,9404,117
2022-03-18,배추,10,1,10550,10763,10814,16
2022-03-19,배추,10,1,10642,10550,9400,11
2022-03-19,배추,10,0,8863,9298,8558,79
2022-03-21,배추,10,0,9688,0,10049,99
2022-03-21,배추,10,1,11355,0,10500,14
2022-03-22,배추,10,0,9377,9688,0,97
2022-03-22,배추,10,1,11034,11355,0,13
2022-03-23,배추,10,0,9301,9377,9878,134
2022-03-23,배추,10,1,10809,11034,10946,19
2022-03-24,배추,10,0,9078,9301,8740,102
2022-03-24,배추,10,1,10463,10809,10632,14
2022-03-25,배추,10,0,9500,9078,9938,96
2022-03-25,배추,10,1,11068,10463,11260,13
2022-03-26,배추,10,0,9707,9500,8979,77
2022-03-26,배추,10,1,11089,11068,10939,11
2022-03-28,배추,10,1,11257,0,11600,17
2022-03-28,배추,10,0,9746,0,8992,123
2022-03-29,배추,10,0,9951,9746,0,108
2022-03-29,배추,10,1,10963,11257,0,15
2022-03-30,배추,10,0,10443,9951,9774,97
2022-03-30,배추,10,1,11785,10963,11596,13
2022-03-31,배추,10,0,10248,10443,9028,101
2022-03-31,배추,10,1,11556,11785,10887,14
2022-04-01,배추,10,0,10009,10248,9522,107
2022-04-01,배추,10,1,12019,11556,10484,15
2022-04-02,배추,10,1,11793,0,0,10
2022-04-02,배추,10,0,10826,0,0,71
2022-04-04,배추,10,0,10719,0,0,128
2022-04-04,배추,10,1,11911,0,0,18
2022-04-05,배추,10,0,10827,0,0,125
2022-04-05,배추,10,1,12032,0,0,18
2022-04-06,배추,10,0,9848,0,0,166
2022-04-06,배추,10,1,11624,0,0,23
2022-04-07,배추,10,0,10675,0,0,106
2022-04-07,배추,10,1,11820,0,0,15
2022-04-08,배추,10,0,10029,0,0,133
2022-04-08,배추,10,1,11608,0,0,19
2022-04-09,배추,10,1,11487,0,0,11
2022-04-09,배추,10,0,9588,0,0,81
2022-04-11,배추,10,1,12060,0,11494,19
2022-04-11,배추,10,0,10286,0,10230,135
2022-04-12,배추,10,0,10054,10286,0,149
2022-04-12,배추,10,1,11800,12060,0,21
2022-04-13,배추,10,0,10236,10054,8920,134
2022-04-13,배추,10,1,11561,11800,10875,19
2022-04-14,배추,10,0,9816,10236,10269,135
2022-04-14,배추,10,1,11375,11561,11443,19
2022-04-15,배추,10,0,10826,9816,8827,89
2022-04-15,배추,10,1,11600,11375,11006,12
2022-04-16,배추,10,1,11300,11600,10862,10
2022-04-16,배추,10,0,10554,10826,8239,72
2022-04-18,배추,10,0,10300,0,9573,159
2022-04-18,배추,10,1,11973,0,11500,22
2022-04-19,배추,10,0,10780,10300,0,108
2022-04-19,배추,10,1,12400,11973,0,15
2022-04-20,배추,10,0,11013,10780,10075,123
2022-04-20,배추,10,1,12229,12400,11761,17
2022-04-21,배추,10,0,10571,11013,8707,150
2022-04-21,배추,10,1,12189,12229,11013,21
2022-04-22,배추,10,0,10680,10571,9136,129
2022-04-22,배추,10,1,12087,12189,10459,18
2022-04-23,배추,10,0,10566,10680,9047,73
2022-04-23,배추,10,1,11800,12087,10581,10
2022-04-25,배추,10,0,11003,0,9576,140
2022-04-25,배추,10,1,12079,0,11698,20
2022-04-26,배추,10,0,10262,11003,0,138
2022-04-26,배추,10,1,12188,12079,0,19
2022-04-27,배추,10,1,12679,12188,12119,17
2022-04-27,배추,10,0,10937,10262,9381,123
2022-04-28,배추,10,0,9747,10937,9561,155
2022-04-28,배추,10,1,12012,12679,11714,22
2022-04-29,배추,10,0,10171,9747,9383,118
2022-04-29,배추,10,1,11783,12012,12100,16
2022-04-30,배추,10,0,10381,10171,7767,79
2022-04-30,배추,10,1,11786,11783,11672,11
2022-05-02,배추,10,0,10346,0,0,140
2022-05-02,배추,10,1,12268,0,0,20
2022-05-03,배추,10,1,12114,0,0,20
2022-05-03,배추,10,0,9905,0,0,143
2022-05-04,배추,10,0,8638,0,0,151
2022-05-04,배추,10,1,11502,0,0,21
2022-05-05,배추,10,0,10175,0,0,105
2022-05-05,배추,10,1,12056,0,0,15
2022-05-06,배추,10,0,10824,0,0,111
2022-05-06,배추,10,1,13499,0,0,15
2022-05-07,배추,10,0,10098,0,0,103
